San Jose (0.00),Palo Alto (0.00),San Diego (99.93),
Santa Barbara (96.75),Bakersfield (3.25),San Diego (0.00),
N/A,N/A,N/A,
N/A,N/A,N/A,
Sacramento (0.00),Stockton (0.00),San Jose (0.00),
Sacramento (0.00),Stockton (0.00),Travis (99.01),
Travis (95.50),San Diego (4.50),LA/Long Beach (0.00),
N/A,N/A,N/A,
LA/San Fernando Valley (18.11),LA/Long Beach (0.00),Inland Empire (78.02),
Sacramento (0.00),LA/Long Beach (0.00),Santa Barbara (86.07),
N/A,N/A,N/A,
Inland Empire (86.27),LA/Long Beach (0.00),LA/San Fernando Valley (0.69),
Palo Alto (0.00),San Diego (99.07),LA/Long Beach (0.00),
N/A,N/A,N/A,
LA/San Fernando Valley (5.58),Stockton (0.00),Sacramento (0.00),
San Francisco (0.00),Palo Alto (0.00),San Jose (0.00),
Inland Empire (67.73),Stockton (0.00),LA/San Fernando Valley (0.27),
San Jose (0.00),Inland Empire (44.85),Stockton (0.00),
Sacramento (0.00),Santa Barbara (64.53),San Diego (34.60),
Bakersfield (99.98),Modesto/East Bay (0.02),Modesto/Sonora (0.00),
Redding (100.00),Chico (0.00),Monterey (0.00),
LA/San Fernando Valley (1.35),Santa Barbara (39.08),San Diego (56.25),
LA/San Fernando Valley (0.20),LA/Long Beach (0.00),San Diego (90.04),
San Jose (0.00),Palo Alto (0.00),San Diego (79.53),
N/A,N/A,N/A,
N/A,N/A,N/A,
Redding (100.00),Fresno (0.00),Chico (0.00),
N/A,N/A,N/A,
N/A,N/A,N/A,
,,,
,,,

Number of simulations,10000,
Popularity rating cutoff,124,
